Cust ID,Order #,Order Date,Total $,SKU Category,Qty
C0219,ORD106875,26-05-2024,$550.01,Beauty,2
C0793,ORD100792,11-01-2024,599.32,Footwear,3
C0182,ORD105789,2024-09-29,"1,188.68",Sports,1
C0441,ORD107901,11/14/2024,$183.35,Electronics,2
C0925,ORD102111,08/28/2024,861.30,Apparel,3
C0871,ORD104311,Mar 15 2024,"1,004.65",Apparel,5
C0579,ORD107240,02/23/2024,$1184.58,,4
C0085,ORD102862,2024-07-03,"1,196.99",Footwear,2
C0799,ORD103317,03/03/2024,368.84,Footwear,3
C0573,ORD109181,06/26/2024,318.07,Electronics,2
C0933,ORD109788,Jun 01 2024,$919.41,Home,1
C0357,ORD103198,04-03-2024,1087.96,Sports,8
C0236,ORD108493,24-04-2024,,,7
C0478,ORD102310,12-04-2024,132.50,Accessories,5
C0481,ORD104250,Jul 06 2024,$449.95,Home,5
C0762,ORD102371,10-10-2024,965.85,Accessories,3
C0055,ORD101200,01/03/2024,704.48,Home,8
C0682,ORD105178,05/11/2024,$747.52,Apparel,2
C0083,ORD108724,08/23/2024,160.07,Apparel,1
C0654,ORD103094,04/03/2024,$394.54,Electronics,5
C0660,ORD106328,2024-05-29,$539.33,,7
C0647,ORD104738,2024-11-25,$342.91,Apparel,2
C0230,ORD104439,10/27/2024,97.52,Accessories,6
C0547,ORD105677,Sep 06 2024,$283.94,Footwear,8
C0593,ORD107953,2024-12-02,30.06,Footwear,4
C0125,ORD106041,06-01-2024,$619.18,Electronics,5
C0971,ORD102737,2024-02-29,$850.54,Footwear,8
C0250,ORD103618,20-12-2024,752.67,Accessories,2
C0248,ORD105713,03/28/2024,490.84,Home,6
C0740,ORD106155,20-03-2024,$216.32,Home,4
C0360,ORD109839,24-01-2024,1199.41,Home,3
C0460,ORD104843,Aug 20 2024,321.62,Beauty,2
C0030,ORD104065,May 09 2024,"1,109.26",Home,8
C0584,ORD108805,06/21/2024,1071.65,Beauty,2
C0597,ORD101809,2024-11-29,527.50,Electronics,5
C0126,ORD109389,11/24/2024,$917.58,Beauty,7
C0667,ORD109050,30-12-2024,195.52,,7
C0998,ORD107165,Jan 01 2024,424.95,Electronics,5
C0776,ORD104165,11/11/2024,293.01,Beauty,7
C0518,ORD109186,22-10-2024,583.49,Footwear,8
C0562,ORD109156,02-02-2024,330.74,Home,6
C0290,ORD105110,08/30/2024,863.37,Electronics,3
C0644,ORD101304,Aug 10 2024,$53.38,Footwear,8
C0567,ORD100566,15-08-2024,770.14,Electronics,5
C0997,ORD100996,01/17/2024,"1,198.29",Footwear,6
C0945,ORD106550,04/22/2024,425.37,Home,8
C0442,ORD107273,02/15/2024,$884.82,Sports,1
C0497,ORD106002,09-04-2024,$469.42,,2
C0641,ORD103685,Dec 05 2024,938.18,Accessories,2
C0249,ORD102957,09/20/2024,$605.78,Accessories,3
C0539,ORD104730,Jun 23 2024,139.20,Beauty,7
C0552,ORD105924,2024-02-23,511.02,,2
C0957,ORD101468,21-11-2024,246.09,Sports,1
C0009,ORD100008,27-11-2024,95.87,Beauty,1
C0063,ORD103926,25-07-2024,280.29,,3
C0054,ORD106286,2024-03-19,335.38,,1
C0263,ORD107583,2024-10-24,567.03,Accessories,6
C0544,ORD106385,02-08-2024,690.90,Electronics,8
C0512,ORD100511,29-02-2024,$838.90,Sports,8
C0714,ORD103128,01-03-2024,690.67,,6
C0841,ORD104922,08/23/2024,651.53,Electronics,7
C0698,ORD109583,04/29/2024,$665.17,Footwear,8
C0793,ORD104839,10/05/2024,723.12,Home,4
C0512,ORD106870,Sep 11 2024,$971.32,Apparel,1
C0544,ORD107399,Feb 12 2024,$810.82,Sports,3
C0862,ORD106329,2024-02-08,284.58,Sports,3
C0218,ORD104363,Feb 01 2024,"1,059.21",Home,4
C0223,ORD101989,2024-09-09,132.52,Home,3
C0326,ORD106065,04/08/2024,$157.04,Apparel,2
C0269,ORD109426,05/27/2024,$961.29,Sports,5
C0830,ORD109322,2024-10-06,$1137.88,Accessories,8
C0289,ORD106170,12-09-2024,$318.20,Home,1
C0694,ORD106307,2024-10-28,263.65,,8
C0120,ORD108134,12/10/2024,137.81,Sports,5
C0826,ORD107469,May 03 2024,272.03,Electronics,2
C0248,ORD102105,20-01-2024,$177.12,Apparel,8
C0506,ORD102403,Sep 29 2024,386.33,,1
C0431,ORD102317,14-06-2024,672.37,,2
C0327,ORD101997,16-11-2024,747.64,,5
C0163,ORD105349,Jun 25 2024,809.67,Electronics,5
C0544,ORD107943,2024-06-20,113.18,Home,6
C0468,ORD109128,2024-03-04,1109.16,Beauty,6
C0254,ORD101644,2024-11-24,740.51,Apparel,3
C0388,ORD102717,05/16/2024,268.27,Apparel,8
C0620,ORD102219,Jun 25 2024,$420.00,Beauty,3
C0004,ORD104360,Feb 13 2024,"1,127.32",Electronics,3
C0237,ORD105205,05/10/2024,907.94,Accessories,2
C0587,ORD102175,2024-10-08,451.23,Electronics,5
C0295,ORD105230,2024-07-07,"1,002.03",Footwear,3
C0979,ORD107672,23-01-2024,360.70,Beauty,1
C0229,ORD105288,Feb 26 2024,55.51,Home,7
C0231,ORD102417,2024-10-27,457.96,,7
C0530,ORD105330,Apr 09 2024,840.40,,6
C0967,ORD101804,Apr 05 2024,$204.78,,5
C0042,ORD107025,2024-10-28,1182.07,Footwear,6
C0199,ORD107244,2024-12-09,299.29,Beauty,3
C0985,ORD103692,Feb 06 2024,$114.30,Electronics,7
C0263,ORD103817,May 31 2024,417.15,Beauty,8
C0480,ORD102263,2024-04-19,$993.52,Accessories,1
C0653,ORD107708,2024-04-15,859.31,Electronics,3
C0411,ORD103705,2024-08-02,-$109.64,,6
C0938,ORD108767,May 03 2024,$886.01,Home,8
C0753,ORD107362,May 24 2024,701.67,Accessories,5
C0510,ORD100509,Oct 01 2024,1088.98,Home,2
C0203,ORD107228,2024-06-13,378.61,Apparel,4
C0909,ORD107847,01/17/2024,$537.35,Accessories,6
C0718,ORD107207,Aug 17 2024,$1181.38,Electronics,7
C0214,ORD100213,08-10-2024,$904.27,Accessories,3
C0912,ORD100911,2024-06-15,224.12,Beauty,5
C0879,ORD107089,31-10-2024,929.84,,1
