Cust ID,Order #,Order Date,Total $,SKU Category,Qty
C057,ORD1480,Jan 12 2024,$115.85,Apparel,1
C064,ORD1449,05-04-2024,354.53,Accessories,1
C065,ORD1475,Jun 27 2024,93.53,,5
C046,ORD1434,24-03-2024,$391.88,Home,4
C019,ORD1368,01/16/2024,117.92,Apparel,5
C003,ORD1055,Jun 08 2024,$134.50,Beauty,4
C008,ORD1322,May 11 2024,51.50,Footwear,2
C061,ORD1076,12-05-2024,459.71,,1
C052,ORD1356,2024-03-01,240.37,,3
C074,ORD1347,20-06-2024,91.59,Apparel,3
C026,ORD1415,06/17/2024,113.48,Accessories,1
C027,ORD1220,May 30 2024,381.08,Home,2
C054,ORD1117,04/26/2024,$95.56,Apparel,1
C074,ORD1249,01/30/2024,$392.05,,5
C013,ORD1173,04/10/2024,$401.55,Accessories,2
C026,ORD1093,08-04-2024,$71.19,Home,1
C021,ORD1325,2024-03-07,$156.83,Beauty,2
C095,ORD1275,2024-05-10,41.14,Sports,2
C076,ORD1342,May 09 2024,79.12,Home,5
C040,ORD1070,2024-05-25,312.62,Beauty,3
C099,ORD1279,Feb 20 2024,,Electronics,1
C034,ORD1009,Feb 05 2024,377.59,Sports,3
C014,ORD1250,Jun 16 2024,162.9,Apparel,4
C062,ORD1408,2024-02-29,155.97,Footwear,5
C028,ORD1423,05/26/2024,107.74,,2
C032,ORD1451,Jan 09 2024,241.2,,4
C073,ORD1172,May 23 2024,$194.01,Home,5
C007,ORD1030,24-01-2024,,Accessories,3
C035,ORD1448,02-02-2024,-$369.01,Beauty,3
C048,ORD1090,Apr 20 2024,$137.21,Accessories,2
C053,ORD1381,09-04-2024,$322.50,Apparel,5
C047,ORD1131,04/05/2024,$205.96,Electronics,1
C078,ORD1364,Jun 26 2024,$151.33,Accessories,2
C083,ORD1073,02/08/2024,416.78,Home,4
C060,ORD1210,26-01-2024,$385.58,Sports,1
C088,ORD1329,28-01-2024,$50.64,Home,3
C031,ORD1369,05/10/2024,352.61,Electronics,5
C018,ORD1101,2024-01-12,$166.10,Accessories,4
C049,ORD1218,06-04-2024,46.94,Sports,3
C017,ORD1154,Jan 18 2024,$393.69,Footwear,5
C012,ORD1225,01/02/2024,$233.47,Sports,4
C028,ORD1399,Feb 08 2024,95.53,Beauty,4
C003,ORD1063,01/24/2024,126.37,Electronics,4
C058,ORD1002,05/30/2024,408.53,Sports,3
C018,ORD1441,Jun 27 2024,$303.60,Sports,5
C039,ORD1340,15-03-2024,369.36,Accessories,3
C062,ORD1082,Apr 30 2024,239.26,Accessories,1
C014,ORD1284,12-02-2024,$243.71,Beauty,4
C031,ORD1209,05/21/2024,$392.25,Home,3
C046,ORD1471,Feb 09 2024,147.19,Home,1
