Cust ID,Order #,Order Date,Total $,SKU Category,Qty
C001,ORD1001,Jan 01 2024,148.39,Footwear,2
C001,ORD1002,Jun 24 2024,$57.17,Apparel,4
C001,ORD1003,Feb 08 2024,306.98,Footwear,5
C001,ORD1004,06/18/2024,121.9,Accessories,5
C001,ORD1005,2024-01-25,$353.60,Accessories,3
C001,ORD1006,2024-03-04,199.26,Accessories,3
C002,ORD1007,Jun 15 2024,75.54,Apparel,4
C003,ORD1008,05/28/2024,295.02,Apparel,1
C003,ORD1009,2024-03-03,$435.24,Accessories,4
C003,ORD1010,03/06/2024,187.3,,3
C003,ORD1011,Jun 03 2024,$322.96,,5
C003,ORD1012,04/13/2024,494.92,Footwear,5
C003,ORD1013,2024-01-08,$405.45,Accessories,4
C004,ORD1014,2024-06-11,$332.89,,4
C004,ORD1015,2024-03-05,376.32,Accessories,5
C004,ORD1016,04/19/2024,$190.57,Beauty,2
C004,ORD1017,2024-01-28,$89.13,,2
C004,ORD1018,01/13/2024,$304.01,Beauty,4
C005,ORD1019,Jan 22 2024,70.56,Accessories,5
C005,ORD1020,03/04/2024,225.9,Apparel,4
C005,ORD1021,Jun 09 2024,384.6,Apparel,5
C005,ORD1022,Mar 27 2024,$261.22,Footwear,2
C005,ORD1023,Feb 18 2024,$460.47,Accessories,5
C006,ORD1024,03/27/2024,131.1,Beauty,2
C007,ORD1025,2024-06-16,$489.32,Footwear,5
C008,ORD1026,05/06/2024,270.9,Home,5
C008,ORD1027,May 25 2024,349.6,Home,3
C008,ORD1028,06/12/2024,$451.31,Apparel,4
C008,ORD1029,2024-01-11,$300.33,Beauty,2
C009,ORD1030,2024-06-21,$126.04,Accessories,1
C010,ORD1031,03/22/2024,118.9,,2
C010,ORD1032,05/19/2024,$132.85,Home,4
C011,ORD1033,06/14/2024,$220.44,,4
C012,ORD1034,2024-06-04,$210.27,Apparel,3
C012,ORD1035,02/18/2024,$82.99,Accessories,2
C012,ORD1036,Jan 15 2024,62.5,Apparel,5
C012,ORD1037,02/06/2024,250.5,Home,2
C012,ORD1038,2024-02-13,$492.87,Home,3
C012,ORD1039,Jun 24 2024,$336.01,Footwear,4
C013,ORD1040,Jan 19 2024,$277.96,Apparel,3
C013,ORD1041,Apr 17 2024,91.3,Apparel,5
C014,ORD1042,May 03 2024,433.0,Apparel,4
C015,ORD1043,Feb 19 2024,34.27,Home,1
C015,ORD1044,05/17/2024,468.33,,2
C015,ORD1045,02/09/2024,$78.48,Home,3
C015,ORD1046,01/01/2024,$316.26,Apparel,5
C015,ORD1047,02/17/2024,79.2,Apparel,3
C001,ORD1001,Jan 01 2024,148.39,Footwear,2
C002,ORD9999,04/10/2024,-$45.00,Apparel,1
C003,ORD9998,2024-05-05,,Home,2
